ID;fmax;fmax_e;dnu_cor;dnu_cor_e;dnu02;dnu02_e;fm;fm_e;dnu;dnu_e;alp;alp_e;evo
8284682;29.725208;0.19541673;3.5211377;0.0062119195;0.55007707;0.013557673;28.083004;0.0093057060;3.6045582;0.010574752;0.023547477;0.0024357391;1
8285025;15.307482;0.12122216;2.0572860;0.0033510513;0.29287365;0.0091760388;16.074119;0.0068267925;2.0815786;0.0075566980;0.014158369;0.0024728096;3
8285510;24.824621;0.14352134;3.0851629;0.0034740823;0.43587323;0.0086471892;24.622387;0.0064479917;3.1057989;0.0061774069;0.022546958;0.0018207328;0
8285712;11.076851;0.14176113;1.9666797;0.10799248;0.34512471;0.019054988;0.66181906;0.10665459;2.0144145;0.0061387914;0.029762491;0.017263028;0
8288164;30.639009;0.20513534;3.9549812;0.010199225;0.61584335;0.015367419;31.147063;0.0097776085;4.0093069;0.010876793;0.011845076;0.0041038516;1
8288278;3.2102432;0.070552755;0.72705718;0.0043145197;0.12707213;0.0062513609;3.4006537;0.0055247413;0.73837195;0.0074255530;0.047044741;0.010722955;0
8292681;46.350930;0.25162944;4.6786038;0.0057210167;0.70890512;0.014718701;42.712856;0.011809459;4.7687420;0.010202877;0.014141775;0.0020434480;1
8293158;34.727802;0.22495365;4.1923149;0.0081092555;0.63284894;0.018991506;37.080050;0.013832470;4.2249101;0.013846905;0.017170309;0.0029525038;1
8293291;51.150208;0.24700336;5.0393592;0.0088437548;0.71416352;0.020376063;50.514018;0.014099210;5.0611162;0.017538615;0.0073243064;0.0027189314;2
8293345;8.9336431;0.12395490;1.4018063;0.0074225066;0.23821296;0.011702736;8.3192550;0.013668925;1.5026575;0.010563607;0.056037448;0.0069625802;3
8293686;9.8153413;0.10903350;1.4340194;0.0046326761;0.22153749;0.0072466013;9.7876848;0.0067978270;1.4723015;0.0093963644;0.034987885;0.0053202957;0
8296548;41.990043;0.33253680;4.6129112;0.0076611467;0.66652800;0.014550369;45.631431;0.010958822;4.5959404;0.012012786;0.0024816952;0.0016866545;1
8296729;48.593180;0.22361604;4.9278067;0.0045637449;0.64372210;0.010097059;49.437167;0.0076538126;4.9194737;0.0089780665;0.0074984280;0.0013377795;0
8299489;141.54682;0.33537956;11.605594;0.0048353573;1.4891553;0.011118444;141.97052;0.0092935280;11.563452;0.0075914463;0.0032489177;0.00064855006;0
8299922;85.148930;0.46302433;6.8898242;0.0084648742;0.82702555;0.020782453;83.112135;0.012501566;6.8975158;0.018565317;0.0015122255;0.0011619925;2
8300692;27.705248;0.19719041;3.6205107;0.013263335;0.63888393;0.018820279;25.193332;0.013396501;3.7394698;0.012325813;0.025717118;0.0046136974;1
8300747;16.190456;0.11499849;2.3357691;0.0037045487;0.36002734;0.0088588841;16.179430;0.0069759220;2.3542487;0.0056839950;0.026692576;0.0026680083;0
8301180;230.33779;2.0214334;16.379455;0.0074368646;1.8554937;0.014165532;235.09473;0.0063725086;16.355731;0.010577444;0.0026997667;0.00052580067;0
8301905;140.28667;0.36313662;11.923912;0.0084576809;1.5736440;0.013979763;145.29784;0.010774978;11.826329;0.0093517568;0.0084990191;0.0010875247;0
8302107;24.563944;0.17389019;3.0584616;0.0067631947;0.40857743;0.012884165;24.393311;0.011055065;3.1009219;0.0097050576;0.020840489;0.0032787001;0
8307149;73.246665;0.20891125;7.0658480;0.0042997249;0.91897053;0.0097665064;77.955727;0.0074664952;7.0325743;0.0097478603;0.0094713641;0.00090701444;0
8307548;106.13798;0.41435963;8.4173990;0.0069963383;0.92386480;0.018458398;109.82614;0.013910413;8.3786527;0.012397222;0.0025672424;0.0012895067;2
8307630;32.791727;0.19684764;3.8561413;0.0086385552;0.55990327;0.015409656;34.344792;0.013161379;3.9096980;0.013697231;0.0052985601;0.0030574447;1
8309890;52.089164;0.32881294;5.1343014;0.0048884750;0.67538093;0.012512735;51.666316;0.0094720327;5.1517050;0.010461567;0.0094535109;0.0016109529;0
8310792;113.38837;0.78917948;8.2575299;0.0092744948;0.94002005;0.0060570412;116.01936;0.013843280;8.2613740;0.018374345;0.0013229428;0.0010254756;2
8312324;54.600951;0.20016907;5.8315377;0.0050439848;0.82165646;0.011815078;53.220949;0.0085534480;5.8932383;0.0095805776;0.016902718;0.0014350805;0
8312512;102.68881;0.25728393;9.1911195;0.0049440879;1.1957448;0.010304151;102.79923;0.0077876401;9.1575641;0.0072478249;0.0063789672;0.00082404060;0
8314240;58.387456;0.18738744;5.9928114;0.0039665278;0.81085804;0.0080829124;60.284871;0.0064900796;5.9631369;0.0056736580;0.0092550800;0.0010743838;0
8314514;50.908887;0.42630917;4.7732603;0.013169564;0.64177979;0.016023845;47.835249;0.014211833;4.8384284;0.011993421;0.014540094;0.0041394318;1
8315796;100.50906;0.24545529;8.8996103;0.0036228856;1.1384476;0.0094873321;99.591009;0.0067870276;8.8885825;0.0061779598;0.0077681477;0.00065860026;0
